City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,enewetak,11.3474,162.3373,301.38,77,70,6.58,MH,1699742879
83,margaret river,-33.95,115.0667,286.47,67,36,6.21,AU,1699742729
84,taos,36.4072,-105.5731,285.49,19,0,2.06,US,1699742749
85,palangkaraya,-2.2,113.8333,297.94,94,99,0.37,ID,1699742879
86,abadeh,31.1608,52.6506,283.56,31,9,1.17,IR,1699742879
87,sinop,41.7711,34.8709,290.0,50,100,5.91,TR,1699742879
88,wainwright,52.839,-110.8572,279.84,40,89,2.8,CA,1699742879
89,crucecita,-28.95,-58.9833,302.13,68,32,4.87,AR,1699742880
90,awjilah,29.1081,21.2869,293.92,45,0,2.94,LY,1699742880
91,port elizabeth,-33.918,25.5701,291.31,76,20,7.72,ZA,1699742729
92,udachny,66.4167,112.4,260.09,85,70,7.29,RU,1699742880
93,san lawrenz,36.0553,14.204,292.51,73,14,7.37,MT,1699742880
94,chuguyevka,44.1653,133.8633,263.74,83,100,3.24,RU,1699742881
95,tindouf,27.6711,-8.1474,294.4,23,0,2.06,DZ,1699742881
96,new norfolk,-42.7826,147.0587,286.87,61,97,3.34,AU,1699742881
97,harstad,68.799,16.5293,272.81,74,11,8.05,NO,1699742881
98,jamestown,42.097,-79.2353,276.88,74,0,2.06,US,1699742881
99,luderitz,-26.6481,15.1594,290.61,61,0,9.38,NA,1699742881
100,sitka,57.0531,-135.33,279.09,75,75,3.6,US,1699742882
101,bredasdorp,-34.5322,20.0403,289.19,71,49,4.15,ZA,1699742882
102,balaipungut,1.05,101.2833,296.66,99,99,2.1,ID,1699742882
103,masterton,-40.9597,175.6575,291.1,53,13,3.87,NZ,1699742882
104,wellington,-41.2866,174.7756,290.96,63,20,12.35,NZ,1699742815
105,san patricio,28.017,-97.5169,289.17,89,100,2.36,US,1699742883
106,machilipatnam,16.1667,81.1333,296.48,78,38,3.1,IN,1699742883
107,amparafaravola,-17.5833,48.2167,292.76,80,100,2.6,MG,1699742883
108,trat,12.5,102.5,298.26,92,60,1.09,TH,1699742883
109,ilulissat,69.2167,-51.1,266.16,45,100,2.06,GL,1699742883
110,nuuk,64.1835,-51.7216,267.49,73,34,4.12,GL,1699742883
111,port saint john's,-31.6229,29.5448,292.5,80,87,5.14,ZA,1699742884
112,keetmanshoop,-26.5833,18.1333,293.66,40,0,4.63,NA,1699742884
113,olyokminsk,60.3736,120.4264,265.77,74,100,5.62,RU,1699742884
114,kodiak,57.79,-152.4072,275.88,52,75,11.32,US,1699742884
115,namtsy,62.7161,129.6658,251.5,100,100,1.38,RU,1699742884
116,namibe,-15.1961,12.1522,294.66,70,70,0.93,AO,1699742746
117,portland,45.5234,-122.6762,286.93,84,75,5.66,US,1699742704
118,colby,39.3958,-101.0524,289.18,30,0,3.6,US,1699742885
119,utrik,11.2278,169.8474,300.47,85,99,8.52,MH,1699742759
120,piti village,13.4626,144.6933,302.64,80,0,5.14,GU,1699742885
